Année,Département,AP_TDS,AP_TDR,AP_TP,AP_TPR,Loups_tués_légal,Loups_tués_illégal,Loups_tués_accident
2018,Alpes-de-Haute-Provence,310,41,,5,9,,6
2018,Hautes-Alpes,404,38,1,1,7,1,7
2018,Alpes-Maritimes,140,42,,6,14,,1
2018,Aude,13,,,,,,
2018,Aveyron,11,3,1,,,,
2018,Cantal,1,,,,,,
2018,Doubs,0,,,,,,1
2018,Drôme,145,13,,,2,1,2
2018,Gard,6,2,,,,,
2018,Hérault,1,,,,,,
2018,Isère,157,1,1,,2,1,3
2018,Lozère,46,1,,,,,
2018,Meurthe-et-Moselle,6,,,,,,
2018,Meuse,1,,,,,,
2018,Pyrénées-Atlantiques,4,,,,,,
2018,Savoie,170,2,2,,8,1,3
2018,Haute-Savoie,1,,,,,,1
2018,Tarn,1,,,,,,
2018,Var,48,18,,3,5,,1
2018,Vaucluse,3,,,,,,2
2018,Vosges,1,,,,,,
2019,Alpes-de-Haute-Provence,432,57,3,,12,2,1
2019,Hautes-Alpes,404,40,1,2,11,1,3
2019,Alpes-Maritimes,139,51,,,32,,
2019,Aude,13,,,,,,
2019,Aveyron,46,4,,,,,
2019,Cantal,7,,,,,,
2019,Drôme,155,16,,,5,,3
2019,Gard,12,2,,,1,,
2019,Hérault,2,,,,,,
2019,Isère,113,2,,,6,,3
2019,Haute-Loire,2,,,,,,
2019,Haute-Marne,0,,,,,1,
2019,Lozère,48,1,,,,,1
2019,Meurthe-et-Moselle,9,1,5,,,,
2019,Meuse,1,,,,,,
2019,Pyrénées-Atlantiques,4,,,,,,
2019,Pyrénées-Orientales,0,,,,,,1
2019,Savoie,170,18,,,17,1,6
2019,Haute-Savoie,11,,,,1,,
2019,Tarn,1,,,,,,
2019,Var,27,18,3,,9,,2
2019,Vaucluse,4,,,,,,
2019,Vosges,9,,,,,,
2020,Ain,1,,,,,,
2020,Alpes-de-Haute-Provence,491,88,,1,9,4,
2020,Hautes-Alpes,539,93,,1,15,2,
2020,Alpes-Maritimes,130,55,,,27,,
2020,Aude,15,,,,,,
2020,Aveyron,55,,,,,,
2020,Cantal,9,,,,,,
2020,Drôme,112,11,,,8,1,
2020,Hérault,5,,,,,,
2020,Isère,240,23,1,,14,,
2020,Haute-Loire,2,,,,,,
2020,Lozère,48,,,,,,
2020,Meurthe-et-Moselle,10,3,,,,,
2020,Meuse,2,,,,,,
2020,Pyrénées-Atlantiques,4,,,,,,
2020,Haute-Saône,2,,,,,,
2020,Saône-et-Loire,16,6,1,,1,,
2020,Savoie,249,11,,,17,1,
2020,Haute-Savoie,71,2,,,2,,
2020,Tarn,1,,,,,,
2020,Var,44,26,2,,3,,
2020,Vaucluse,28,1,1,,,,
2020,Vosges,10,,2,,1,,
2021,Ain,1,,,,,,
2021,Alpes-de-Haute-Provence,522,35,,,11,1,
2021,Hautes-Alpes,540,93,,,16,1,
2021,Alpes-Maritimes,138,44,,,38,,
2021,Aude,15,,,,,,
2021,Aveyron,55,,,,,,
2021,Cantal,12,,,,,,
2021,Côte-d’Or,1,,,,,,
2021,Drôme,115,6,,,4,,
2021,Hérault,9,,,,,,
2021,Isère,240,1,,,7,,
2021,Haute-Loire,2,,,,,,
2021,Lozère,51,1,,,,,
2021,Meurthe-et-Moselle,10,3,,,,,
2021,Meuse,2,,,,,,
2021,Pyrénées-Atlantiques,4,,,,,,
2021,Haute-Saône,2,,,,,,
2021,Saône-et-Loire,16,6,,,1,,
2021,Savoie,249,11,,,6,3,
2021,Haute-Savoie,97,2,,,7,,
2021,Tarn,1,,,,,,
2021,Var,67,28,,,10,1,
2021,Vaucluse,28,1,,,,,
2021,Vosges,10,,,,,,
2021,Yonne,1,,,,,,
2022,Ain,0,,,,,,
2022,Allier,0,,,,,,
2022,Ardèche,14,,,,,,
2022,Alpes-de-Haute-Provence,568,62,1,,22,3,
2022,Hautes-Alpes,572,130,,,18,,
2022,Alpes-Maritimes,161,46,,,49,,
2022,Ardennes,0,,,,,,
2022,Aube,0,,,,,,
2022,Aude,0,,,,,,
2022,Aveyron,0,,,,,,
2022,Bas-Rhin,0,,,,,,
2022,Bouches-du-Rhône,0,,,,,,
2022,Cantal,13,1,,,,,
2022,Côte-d'Or,0,,,,,,
2022,Corrèze,3,1,,,,,
2022,Creuse,0,,,,,,
2022,Doubs,0,,,,2,,
2022,Drôme,164,11,,,7,1,
2022,Gard,11,,,,,,
2022,Hérault,20,3,,,,,
2022,Haute-Loire,0,,,,,,
2022,Haute-Marne,3,,,,,,
2022,Haut-Rhin,0,,,,,,
2022,Hautes-Pyrénées,10,1,,,,,
2022,Haute-Saône,0,,,,,,
2022,Haute-Vienne,0,,,,,,
2022,Isère,245,18,,,10,,
2022,Jura,1,,,,,,
2022,Lot,10,,,,,,
2022,Lozère,65,,,,,,
2022,Meurthe-et-Moselle,0,,,,,,
2022,Meuse,0,,,,,,
2022,Moselle,0,,,,,,
2022,Nièvre,0,,,,,,
2022,Pyrénées-Atlantiques,0,,,,,,
2022,Pyrénées-Orientales,0,,,,,,
2022,Haute-Saône,0,,,,,,
2022,Saône-et-Loire,0,,,,,,
2022,Savoie,306,28,,,26,1,
2022,Haute-Savoie,133,5,,,8,,
2022,Tarn,15,,,,,,
2022,Territoire de Belfort,0,,,,,,
2022,Var,86,14,,,17,1,
2022,Vaucluse,0,,,,,,
2022,Vosges,9,,,,,,
2022,Yonne,0,,,,,,
